Vowel Ending,Number / ਵਚਨ,Grammar / ਵਯਾਕਰਣ,Gender / ਲਿੰਗ,Word Root,Type,Evaluation,Reference Verse,Darpan Translation,Darpan Meaning,ChatGPT Commentry,Word Index,Row State
ਾ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾ,Singular / ਇਕ,Past ਭੁਤ (Participle form),Masculine / ਪੁਲਿੰਗ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾਂ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਾਂ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਾਂ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਾਂ,Plural / ਬਹੁ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਾਈ,Singular / ਇਕ,Causative ਪੇ੍ਰਣਾਰਥਕ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾਹਾ,Singular / ਇਕ,Causative ਪੇ੍ਰਣਾਰਥਕ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾਹਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਾਹਿ,Plural / ਬਹੁ,Causative ਪੇ੍ਰਣਾਰਥਕ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਾਰੂ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਾਵਾ,Singular / ਇਕ,Causative ਪੇ੍ਰਣਾਰਥਕ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਾਵੈ,Singular / ਇਕ,Causative ਪੇ੍ਰਣਾਰਥਕ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,,ਵਿਸ਼ੇਸ਼ਣ / Adjective,,,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਿ,,Participle ਕਿਰਦੰਤ,Trans / ਨਪੁਂਸਕ,Perfect ਪੁਰਬ-ਪੁਰਨ (Root),Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਿਓਹੁ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਿਅਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਅਨ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਆ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਆ,Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਆ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਆ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਆ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਆਂ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਈਂ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਸਟ,Singular / ਇਕ,Qualitative ਗੁਣ (Superlative Degree),,ਬਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਿਹੋ,Plural / ਬਹੁ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਿਨ,,ਵਿਸ਼ੇਸ਼ਣ / Adjective,,,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Qualitative ਗੁਣ,Masculine / ਪੁਲਿੰਗ,ਸਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Qualitative ਗੁਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Qualitative ਗੁਣ,Trans / ਨਪੁਂਸਕ,ਸਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀ,Singular / ਇਕ,Past ਭੁਤ (Participle form),Feminine / ਇਸਤਰੀ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਂ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਂ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਂ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਂ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਂ,Plural / ਬਹੁ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਂ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਂ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਓ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਅਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਅਤ ਹੌ,Plural / ਬਹੁ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀਅਲੇ,Singular / ਇਕ,Past ਭੁਤ,Feminine / ਇਸਤਰੀ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀਅਲੇ,Plural / ਬਹੁ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀਅੈ,Singular / ਇਕ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਆ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਆ,Plural / ਬਹੁ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਆ,Plural / ਬਹੁ,Qualitative ਗੁਣ,Trans / ਨਪੁਂਸਕ,ਸਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ੀਆਂ,Plural / ਬਹੁ,Qualitative ਗੁਣ,Trans / ਨਪੁਂਸਕ,ਸਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ੀਐ,Plural / ਬਹੁ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀਐ,Singular / ਇਕ,Passive ਕਰਮਣੀ PRESENT,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀਈ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਈ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਈਂ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਏ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਹੂ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਹੋ,Plural / ਬਹੁ,Vocative ਸੰਬੋਧਨ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੀਲੇ,Singular / ਇਕ,Past ਭੁਤ,Feminine / ਇਸਤਰੀ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੀਲੇ,Plural / ਬਹੁ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੁ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੁ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੁ,Singular / ਇਕ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੁ,Singular / ਇਕ,Qualitative ਗੁਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ੁ,Singular / ਇਕ,Qualitative ਗੁਣ,Masculine / ਪੁਲਿੰਗ,ੁ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ੁ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ੂ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੂ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ੇ,Singular / ਇਕ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
