Word,Meanings
ਅਉਤਾਰੁ,['ਜਨਮ']
ਅਉਤਾਰੇ,"['ਪਾਂਦਾ ਹੈ', 'ਉਤਰਦਾ ਹੈ']"
ਅਉਤੁ,"['ਅਉਤ੍ਰਾ', 'ਅਪੁੱਤ੍ਰਾ', 'ਸੰਤਾਨ-ਹੀਣ']"
ਅਉਧ,"['ਉਮਰ', 'ਮਿਆਦ', 'ਜ਼ਿੰਦਗੀ ਦੇ ਸਮੇ ਦਾ ਬੀਤਦੇ ਜਾਣਾ', 'ਆਖ਼ਰੀ ਹੱਦ']"
ਅਉਧ ਤਨ,['ਸਰੀਰ ਦੀ ਉਮਰ']
ਅਉਧਹਿ,['ਉਮਰ']
ਅਉਧੂ,"['', 'ਹੇ ਅਉਧੂ!', 'ਜੋਗੀ', 'ਵਿਰਕਤ', 'ਹੇ ਜੋਗੀ!']"
ਅਉਧੂ ਨੀਸਾਣੀ,['ਵਿਰਕਤ ਸਾਧ ਦੇ ਲੱਛਣ']
ਅਉਧੂਤ,['ਤਿਆਗੀ']
ਅਉਧੂਤਾ,['ਤਿਆਗੀ']
ਅਉਧੂਤੀ,"['ਅਵਧੂਤ', 'ਜਿਸ ਨੇ ਮਾਇਆ ਦੇ ਬੰਧਨ ਤੋੜ ਦਿੱਤੇ ਹਨ', 'ਤਿਆਗੀ', 'ਮੰਗਤੇ']"
ਅਉਧੂਤੁ,"['ਵਿਰਕਤ ਸਾਧੂ', 'ਜਿਸ ਨੇ ਮਾਇਆ ਦੇ ਪ੍ਰਭਾਵ ਨੂੰ ਪਰੇ ਹਟਾ ਦਿੱਤਾ ਹੈ {ਧੂ: ਹਿਲਾਣਾ; ਅਵ-ਧੂ: ਹਿਲਾ ਕੇ ਪਰੇ ਸੁੱਟ ਦੇਣਾ}', 'ਤਿਆਗੀ']"
ਅਉਰ,['ਹੋਰ']
ਅਉਰ ਉਪਮਾ,['ਕੋਈ ਹੋਰ ਵਡਿਆਈ']
ਅਉਰ ਕਛੂ,['ਹੋਰ ਕੋਈ ਗੱਲ']
ਅਉਰ ਦੁਨੀ,['ਬਾਕੀ ਦੇ ਲੋਕ']
ਅਉਰ ਰਸ,['ਹੋਰ ਹੋਰ ਰਸ']
ਅਉਰਤ,"['ਇਸਤ੍ਰੀ', 'ਜ਼ਨਾਨੀਆਂ']"
ਅਉਰਤ ਯਕੀਨਾ,['ਪਤਿਬ੍ਰਤਾ ਇਸਤ੍ਰੀ']
ਅਉਰਨ,['ਹੋਰਨਾਂ ਨੂੰ']
ਅਉਰਾ,['ਕੋਈ ਹੋਰ']
ਅਉਰੀ,['ਹੋਰ']
ਅਉਰੁ,"['ਹੋਰ', 'ਕੋਈ ਹੋਰ', 'ਕਿਸੇ ਹੋਰ ਨੂੰ', 'ਅਤੇ']"
ਅਉਰੁ ਕੋਈ,['ਕੋਈ ਹੋਰ']
ਅਉਰੁ ਧਰਿਓ,['ਕੋਈ ਹੋਰ ਲੱਭ ਲਿਆ ਹੈ']
ਅਉਰੁ ਨ,['ਕੋਈ ਹੋਰ ਨਹੀਂ']
ਅਉਰੈ,['ਕੋਈ ਹੋਰ ਹੀ']
ਅਉਰੈ ਕਾਮ ਸਿਉ,['ਕਿਸੇ ਹੋਰ ਕੰਮ ਨਾਲ']
ਅਉਰੈ ਕੀ ਅਉਰੈ,['ਹੋਰ ਦੀ ਹੋਰ']
ਅਉਲੀਏ,"['ਧਾਰਮਿਕ ਆਗੂ', 'ਵਲੀ ਲੋਕ', 'ਵਲੀ']"
ਅਉਸਰ,"['ਵੇਲਾ', 'ਮੌਕਾ', 'ਸਮਾ', 'ਸਮਾਂ']"
ਅਉਸਰ ਲਜਾ,['ਲਾਜ ਰੱਖਣ ਦਾ ਸਮਾ ਹੈ']
ਅਉਸਰ ਸਾਰਿ,"['ਦਿਨ-ਕੱਟੀ ਕਰ ਕੇ', 'ਸਮਾ ਸੰਭਾਲ ਕੇ', 'ਸਮਾ ਲੰਘਾ ਕੇ']"
ਅਉਸਰਿ,"['ਅਉਸਰ ਵਿਚ', 'ਮੌਕੇ ਤੇ', 'ਸਮੇ ਵਿਚ']"
ਅਉਸਰੁ,"['ਸਮਾ', 'ਮਨੁੱਖਾ ਜਨਮ ਦਾ ਸਮਾ', 'ਕਾਮਯਾਬ', 'ਮਨੁੱਖਾ ਜਨਮ-ਰੂਪ ਸਮਾ। ਪੂਰਾ-ਸਫਲ', 'ਮੌਕਾ', 'ਸਮਾਂ', 'ਜ਼ਿੰਦਗੀ ਦਾ ਸਮਾ']"
ਅਉਹਠ,"['ਹਿਰਦਾ', 'ਅਵਘੱਟ']"
ਅਉਹਠਿ,['ਹਿਰਦੇ ਵਿਚ']
ਅਉਹਠਿ ਹਸਤ,['ਹਿਰਦੇ ਵਿਚ ਟਿਕਿਆ ਹੋਇਆ']
ਅਉਹਾਣੀ,['ਨਾਸ ਹੋਣ ਵਾਲਾ']
ਅਉਹਾਰ,['ਨਾਸਵੰਤ']
ਅਉਹੇਰੀ,"['ਨੀਝ ਲਾ ਕੇ ਵੇਖਦੀ ਹੈ', 'ਤੱਕਦੀ ਹੈ', 'ਦੁਰਕਾਰ ਦਿੱਤੀ']"
ਅਕ ਕੰਠਿ,['ਅੱਕ ਦੇ ਗਲ ਨਾਲ']
ਅਕਥ,"['ਹੇ ਐਸੇ ਪ੍ਰਭੂ ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਹੀਂ ਹੋ ਸਕਦਾ', 'ਪੂਰੇ ਤੌਰ ਤੇ ਨਾਹ ਦੱਸੀ ਜਾ ਸਕਣ ਵਾਲੀ', 'ਜਿਸ ਦੇ ਸਾਰੇ ਗੁਣ ਬਿਆਨ ਨ ਕੀਤੇ ਜਾ ਸਕਣ', 'ਅਕੱਥ', 'ਬਿਆਨ ਤੋਂ ਪਰੇ', 'ਜੋ ਬਿਆਨ ਨ ਹੋ ਸਕੇ', 'ਉਹ ਪਰਮਾਤਮਾ ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨ ਕੀਤੇ ਜਾ ਸਕਣ', 'ਬਿਆਨ ਕੀਤਿਆਂ ਕਦੇ ਨਾਹ ਮੁੱਕਣ ਵਾਲੀ', 'ਜੋ ਵਰਣਨ ਨਾਹ ਕੀਤੀ ਜਾ ਸਕੇ', 'ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਾ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਜੋ ਬਿਆਨ ਨਾਹ ਕੀਤੀ ਜਾ ਸਕੇ', 'ਅ+ਕਥ', 'ਉਸ ਪਰਮਾਤਮਾ ਦੀ ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨਹੀਂ ਕੀਤੇ ਜਾ ਸਕਦੇ', 'ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ', 'ਜਿਸ ਦਾ ਸਹੀ ਸਰੂਪ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਅ-ਕੱਥ', 'ਜਿਸ ਦੇ ਸਰੂਪ ਦਾ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਬਿਆਨ ਨਾਹ ਹੋ ਸਕਣ ਵਾਲੀ', 'ਕਦੇ ਨਾਹ ਮੁੱਕ ਸਕਣ ਵਾਲੀ', 'ਉਸ ਪ੍ਰਭੂ ਦੀ ਜੋ ਬਿਆਨ ਨਹੀਂ ਹੋ ਸਕਦਾ', 'ਜਿਹੜੀ ਬਿਆਨ ਨਾਹ ਕੀਤੀ ਜਾ ਸਕੇ', 'ਜੋ ਬਿਆਨ ਨਹੀਂ ਹੋ ਸਕਦੀ', 'ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨਾਹ ਕੀਤੇ ਜਾ ਸਕਣ', 'ਜੋ ਮੁਕੰਮਲ ਤੌਰ ਤੇ ਬਿਆਨ ਨਾਹ ਕੀਤੀ ਜਾ ਸਕੇ', 'ਜਿਸ ਦੇ ਸਾਰੇ ਗੁਣ ਬਿਆਨ ਨਾਹ ਕੀਤੇ ਜਾ ਸਕਣ', 'ਅਕਹ', 'ਜੋ ਪੂਰਨ ਤੌਰ ਤੇ ਬਿਆਨ ਨਾਹ ਕੀਤੀ ਜਾ ਸਕੇ', 'ਅ-ਕਥ']"
ਅਕਥ ਕਥ ਕਾਥ,"['ਜਿਸ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਦੀਆਂ ਗੱਲਾਂ ਮੁੱਕ ਨਹੀਂ ਸਕਦੀਆਂ', 'ਜਿਸ ਦੀ ਕਥਾ ਅਕੱਥ ਹੈ']"
ਅਕਥ ਕਥਾ,"['ਉਸ ਪਰਮਾਤਮਾ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ', 'ਬੇਅੰਤ ਗੁਣਾਂ ਨਾਲੇ ਪ੍ਰਭੂ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਦੀ ਗੱਲ', 'ਉਸ ਪਰਮਾਤਮਾ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਜਿਸ ਦੇ ਗੁਣ ਦੱਸੇ ਨਹੀਂ ਜਾ ਸਕਦੇ', 'ਉਸ ਪ੍ਰਭੂ ਦੀ ਗੱਲ ਜਿਸ ਦਾ ਸਰੂਪ ਦੱਸਿਆ ਨਹੀਂ ਜਾ ਸਕਦਾ', 'ਉਸ ਪ੍ਰਭੂ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਤੋਂ ਪਰੇ ਹੈ', 'ਅਕੱਥ ਪ੍ਰਭੂ ਦੀ ਕਥਾ']"
ਅਕਥ ਕਥਾ ਰਸੁ,['ਅਕੱਥ ਪ੍ਰਭੂ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਦਾ ਸੁਆਦ']
ਅਕਥ ਕਹਾਣੀ,"['ਅਕੱਥ ਦੀ ਕਹਾਣੀ', 'ਉਸ ਪ੍ਰਭੂ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਤੋਂ ਪਰੇ ਹੈ']"
ਅਕਥ ਕਹਾਨੀ,"['ਅਕੱਥ ਦੀ ਕਹਾਣੀ', 'ਬੇਅੰਤ ਪ੍ਰਭੂ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ']"
ਅਕਥ ਘਰਿ,['ਅਕੱਥ ਪ੍ਰਭੂ ਦੇ ਘਰ ਵਿਚ']
ਅਕਥ ਬੀਚਾਰੋ,['ਅਕੱਥ ਪ੍ਰਭੂ ਦੇ ਗੁਣਾਂ ਦਾ ਵਿਚਾਰ']
ਅਕਥਉ,['ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ']
ਅਕਥਾ,"['ਅਕਾਰਥ', 'ਜੋ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਨਿਸਫਲ']"
ਅਕਥੀ,['ਉਹ ਅਵਸਥਾ ਜਿਸ ਦਾ ਬਿਆਨ ਨਾਹ ਹੋ ਸਕੇ']
ਅਕਥੁ,"['ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨਹੀਂ ਕੀਤੇ ਜਾ ਸਕਦੇ', 'ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਜਿਸ ਦੇ ਸਾਰੇ ਗੁਣ ਬਿਆਨ ਨ ਹੋ ਸਕਣ', 'ਉਹ ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਅਕੱਥ', 'ਬਿਆਨ ਤੋਂ ਪਰੇ', 'ਅਕੱਥੁ', 'ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨ ਹੋ ਸਕਣ', 'ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨਾਹ ਕੀਤੇ ਜਾ ਸਕਣ', 'ਜਿਸ ਦਾ ਸਹੀ ਸਰੂਪ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਜੋ ਬਿਆਨ ਤੋਂ ਬਾਹਰ ਹੈ', 'ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦੇ ਸਾਰੇ ਗੁਣ ਬਿਆਨ ਨਹੀਂ ਕੀਤੇ ਜਾ ਸਕਦੇ', 'ਜਿਸ ਨੂੰ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਜਿਸ ਦਾ ਸਹੀ ਸਰੂਪ ਬਿਆਨ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ', 'ਜਿਸ ਦਾ ਮੁਕੰਮਲ ਸਰੂਪ ਬਿਆਨ ਤੋਂ ਪਰੇ ਹੈ', 'ਜਿਸ ਦੇ ਗੁਣ ਕਹੇ ਨ ਜਾ ਸਕਣ', 'ਜੋ ਕਥਿਆ ਨਾਹ ਜਾ ਸਕੇ', 'ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦਾ ਸਹੀ ਸਰੂਪ ਬਿਆਨ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ', 'ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨਾਹ ਕੀਤੇ ਜਾ ਸਕਣ']"
ਅਕਥੋ,"['ਜਿਸ ਦਾ ਸਰੂਪ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨ ਕੀਤੇ ਜਾ ਸਕਣ', 'ਅਕੱਥੁ']"
ਅਕਥੌ,['ਜਿਸ ਦੇ ਗੁਣ ਕਥੇ ਨਹੀਂ ਜਾ ਸਕਦੇ']
ਅਕਬ,['ਜਿਨ੍ਹਾਂ ਨੂੰ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ']
ਅਕਯਬ,['ਨਿਸਫਲ']
ਅਕਰਖਤੇ,['ਖਿੱਚ ਲੈਂਦੀ ਹੈ']
ਅਕਰਣੰ,['ਨਾਹ ਕਰਨ ਜੋਗ']
ਅਕਰਮ,"['ਉਹ ਕੰਮ ਜੋ ਸ਼ਾਸਤ੍ਰਾਂ ਨੇ ਵਰਜੇ ਹੋਏ ਹਨ', 'ਅ+ਕਰਮ', 'ਭਾਗ-ਹੀਣ']"
ਅਕਰਮਾ,"['ਕਰਮ-ਹੀਣ', 'ਅ-ਕਰਮ', 'ਭਾਗ-ਹੀਣ']"
ਅਕਰਮੰ,['ਮੰਦੇ ਕੰਮਾਂ ਵਿਚ']
ਅਕਲ,"['ਜਿਸ ਦੇ ਟੋਟੇ ਨਾਹ ਹੋ ਸਕਣ', 'ਇਕ-ਰਸ ਸਰਬ-ਵਿਆਪਕ ਪ੍ਰਭੂ', 'ਕਲਾ ਰਹਿਤ', '{ਸੰ: ਅਕਲ-ਨਾਸਤਿ ਕਲਾ ਅਵਯਵੋ ਯਸ੍ਯ} ਜਿਸ ਦੇ ਟੋਟੇ ਟੋਟੇ ਨਹੀਂ ਹਨ', 'ਇੱਕ-ਰਸ ਵਿਆਪਕ ਹਰੀ', 'ਜੋ ਘਟਦਾ ਵਧਦਾ ਨਹੀਂ ਜਿਵੇਂ ਚੰਦ੍ਰਮਾ ਦੀਆਂ ਕਲਾ ਘਟਦੀਆਂ ਵਧਦੀਆਂ ਹਨ', 'ਪੂਰਨ ਪਾਰਬ੍ਰਹਮ', 'ਜੋ ਚੰਦ੍ਰਮਾ ਵਾਂਗ ਘਟਦਾ ਵਧਦਾ ਨਹੀਂ', 'ਸੰਪੂਰਨ', 'ਜਿਸ ਦੇ ਟੋਟੇ ਨਹੀਂ ਹੋ ਸਕਦੇ', 'ਜਿਸ ਦੀਆਂ ਕਲਾਂ ਨਾਹ ਹੋਣ', 'ਅਖੰਡ ਸ਼ਕਤੀ ਵਾਲਾ', 'ਕਲ-ਰਹਿਤ', 'ਇਕ-ਰਸ ਵਿਆਪਕ ਪ੍ਰਭੂ']"
ਅਕਲ ਕਲਾ,"['ਇਕ-ਰਸ ਸੰਪੂਰਣ ਪ੍ਰਭੂ', 'ਜਿਸ ਦੀ ਕਲਾ ਅੰਗ-ਰਹਿਤ ਹੈ', 'ਇੱਕ-ਰਸ ਹੈ', 'ਜਿਸਦੀ ਕਲਾ ਗਿਣਤੀ ਤੋਂ ਪਰੇ ਹੈ', 'ਜਿਸ ਦੇ ਵਖੋ ਵਖਰੇ ਟੋਟੇ ਨਾ ਹੋਣ']"
ਅਕਲਪਤ,['ਅਸਲੀ']
ਅਕਲਹਿ,['ਅਕਲ ਨਾਲ']
ਅਕਲਿ,"['ਮਤਿ', 'ਸਮਝ']"
ਅਕਲਿ ਲਤੀਫੁ,"['ਲਤਫ਼ਿ ਅਕਲ ਵਾਲਾ', 'ਬਰੀਕ ਸਮਝ ਵਾਲਾ']"
ਅਕਲੀ ਬਾਹਰੇ,['ਅਕਲੋਂ ਖ਼ਾਲੀ। ਕਿਆ .']
ਅਕਲੁ,['ਅਖੰਡ {ਕਲਾ: ਹਿੱਸਾ}']
ਅਕਹ,['{ਅ-ਕਹ} ਬਿਆਨ ਤੋਂ ਬਾਹਰ']
ਅਕਹ ਕਹਾ,['ਉਸ ਦਾ ਬਿਆਨ ਕਥਨ ਤੋਂ ਪਰੇ']
ਅਕਹੀਉ,['ਜਿਸ ਦਾ ਵਰਨਣ ਨਹੀਂ ਹੋ ਸਕਦਾ']
ਅਕਹੁ,['ਅੱਕ ਤੋਂ']
ਅਕਾਜੁ,"['ਅਸਫਲ', 'ਜੀਵਨ-ਮਨੋਰਥ ਪ੍ਰਾਪਤ ਕਰਨ ਤੋਂ ਬਿਨਾ']"
ਅਕਾਥ,['ਅਕਾਰਥ']
ਅਕਾਰ,"['ਵਜੂਦ', 'ਸਰੂਪ', 'ਹਸਤੀ']"
ਅਕਾਰਥ,['ਵਿਅਰਥ']
ਅਕਾਰਥੁ,['ਵਿਅਰਥ']
ਅਕਾਰਾ,"['ਸਰੀਰ', 'ਜਗਤ-ਰਚਨਾ', 'ਜਗਤ']"
ਅਕਾਰੁ,"['ਦਿੱਸਦਾ ਜਗਤ', 'ਆਕਾਰ', 'ਸ਼ਕਲ', 'ਸਰੂਪ', 'ਰੂਪ']"
ਅਕਾਲ,"['ਅ-ਕਾਲ', '{ਅ-ਕਾਲ; ਇਸਤ੍ਰੀ ਲਿੰਗ} ਮੌਤ ਤੋਂ ਰਹਿਤ', 'ਮੌਤ-ਰਹਿਤ']"
ਅਕਾਲ ਮੂਰਤਿ,"['{ਅਕਾਲ: ਮੌਤ-ਰਹਿਤ; ਮੂਰਤਿ: ਹਸਤੀ, ਸਰੂਪ} ਜਿਸ ਦਾ ਵਜੂਦ ਮੌਤ-ਰਹਿਤ ਹੈ', 'ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦੀ ਹਸਤੀ ਮੌਤ-ਰਹਿਤ ਹੈ', 'ਜਿਸ ਦੀ ਹਸਤੀ ਕਾਲ ਤੋਂ ਰਹਿਤ ਹੈ', 'ਜਿਸ ਦੀ ਹਸਤੀ ਮੌਤ ਤੋਂ ਰਹਿਤ ਹੈ', 'ਜਿਸ ਦੀ ਹਸਤੀ ਮੌਤ-ਰਹਿਤ ਹੈ']"
ਅਕਾਲਿ,['ਅਕਾਲ ਨੇ']
ਅਕਾਲੁ,"['ਅ-ਕਾਲੁ', 'ਜਨਮ', 'ਮੌਤ-ਰਹਿਤ', 'ਅਮੋੜ']"
ਅਕਾਸ,"['ਚਿਦਾਕਾਸ਼', 'ਚਿੱਤ-ਰੂਪ ਅਕਾਸ਼', 'ਦਸਮ-ਦੁਆਰ', 'ਗਗਨ']"
ਅਕਾਸ ਕੀ ਬੂੰਦ,"['ਆਕਾਸ਼ਾਂ ਤੋਂ ਪੈਣ ਵਾਲੀ ਮੀਂਹ ਕਣੀ,']"
ਅਕਾਸ ਤੇ,"['ਆਕਾਸ਼ ਤੋਂ', 'ਉੱਚੇ ਮਰਾਤਬੇ ਤੋਂ']"
ਅਕਾਸਿ,"['ਪ੍ਰਭੂ-ਚਰਨਾਂ ਵਿਚ', 'ਉੱਚੇ ਟਿਕਾਣੇ ਤੇ', 'ਆਸਮਾਨ ਤਾਈਂ', 'ਅਕਾਸ਼ ਵਿਚ']"
ਅਕਿਰਤਘਣ,"['ਕੀਤੇ ਉਪਕਾਰ ਨੂੰ ਭੁਲਾਣ ਵਾਲਾ', 'ਨਾ-ਸ਼ੁਕਰਾ', 'ਦਾਤਾਰ ਨੂੰ ਭੁਲਾਣ ਵਾਲੇ', 'ਕੀਤੇ ਉਪਕਾਰ ਨੂੰ ਭੁਲਾ ਦੇਣ ਵਾਲਾ', 'ਕੀਤੇ ਉਪਕਾਰ ਨੂੰ ਵਿਸਾਰਨ ਵਾਲੇ']"
ਅਕਿਰਤਘਣਾ,['ਕੀਤੇ ਨੂੰ ਭੁਲਾਉਣ ਵਾਲਾ']
ਅਕਿਰਤਘਨ,"['ਨਾ-ਸ਼ੁਕਰੇ', 'ਕੀਤੀ ਭਲਾਈ ਨੂੰ ਭੁਲਾ ਦੇਣ ਵਾਲੇ']"
ਅਕਿਰਤਘਨਾਰੇ,['ਨਾ-ਸ਼ੁਕਰੇ']
ਅਕੁਲ,"['ਅਕੁਲ', 'ਅ+ਕੁਲ', 'ਅ-ਕੁਲ', 'ਜਿਸ ਦੀ ਕੋਈ ਖ਼ਾਸ ਕੁਲ ਨਹੀਂ', 'ਉਹ ਜਿਸ ਦੀ ਕੋਈ ਖ਼ਾਸ ਕੁਲ ਨਹੀਂ', '{ਅ-ਕੁਲ} ਜੋ ਧਰਤੀ ਉਤੇ ਜੰਮੀ ਵਿਚੋਂ ਨਹੀਂ ਹੈ']"
ਅਕੁਲਾਤ ਹੈ,['ਕਾਹਲਾ ਪੈਂਦਾ ਹੈ']
ਅਕੁਲੀਣਿ,"['ਕੁਲ-ਰਹਿਤ ਪ੍ਰਭੂ ਵਿਚ', 'ਅਕੁਲੀਣ ਵਿਚ']"
ਅਕੁਲੁ,['{ਅ-ਕੁਲੁ} ਉਹ ਪ੍ਰਭੂ ਜੋ ਕਿਸੇ ਕੁਲ-ਜਾਤ ਵਿਚ ਨਹੀਂ ਜੰਮਦਾ']
ਅਕੂਅਣਾ,['ਕੂਣ ਦੀ ਅਣਹੋਂਦ']
ਅਕੈ,['ਜਾਂ']
ਅਕੋਰਿ,['ਭੇਟਾ']
ਅਕ੍ਰਿਤਘਣੁ,"['ਨਾ-ਸ਼ੁਕਰਾ', 'ਕੀਤੀ ਭਲਾਈ ਨੂੰ ਨਾਹ ਜਾਣਨ ਵਾਲਾ']"
ਅਕ੍ਰਿਤਘਨ,"['ਕੀਤੇ ਉਪਕਾਰ ਨੂੰ ਭੁਲਾ ਦੇਣ ਵਾਲੇ', 'ਨਾਸ਼ੁਕਰੇ']"
ਅਕ੍ਰੂਰ,"['ਕ੍ਰਿਸ਼ਨ ਜੀ ਦਾ ਮਾਮਾ ਅਤੇ ਭਗਤ', 'ਕੰਸ ਦਾ ਭਰਾ']"
ਅਕ੍ਰੂਰੁ,"['ਕ੍ਰਿਸ਼ਨ ਜੀ ਦਾ ਭਗਤ', 'ਸ੍ਰੀ ਕ੍ਰਿਸ਼ਨ ਜੀ ਦਾ ਭਗਤ ਸੀ']"
ਅਖਇਓ,['ਹੇ ਨਾਸ-ਰਹਿਤ!']
ਅਖਰ,"['ਨਾ ਨਾਸ ਹੋਣ ਵਾਲਾ', 'ਵਿਦਿਆ', 'ਗੁਰੂ ਦਾ ਉਪਦੇਸ਼', 'ਗੁਰਬਾਣੀ', 'ਪਿਛਲੇ ਕੀਤੇ ਕਰਮਾਂ ਦੇ ਸੰਸਕਾਰ-ਰੂਪ ਲੇਖ', 'ਗੁਰੂ ਦੇ ਸ਼ਬਦ']"
ਅਖਰ ਕਰਿ,"['ਹੁਕਮ ਕਰ ਕੇ', 'ਹੁਕਮ ਦੀ ਰਾਹੀਂ']"
ਅਖਰ ਕਾ ਭੇਉ,['ਪੜ੍ਹਨ ਦੀ ਜਾਚ']
